sweep,sweepTime,elevAngle,value,radialAng,begGateRan,endGateRan,heightRel,heightASL,geom,a,b,c,d
5,2012-04-22T14:50:25Z,3.515625,9,62.46277,73361.89,73611.42,4824.041,4833.185,POLYGON ((-120.93104677975667 38.809309324169014, -120.92849978202176 38.810349506723114, -120.92171595697363 38.79996261829607, -120.92428567894905 38.79895779166696, -120.93104677975667 38.809309324169014))
5,2012-04-22T14:50:25Z,3.515625,2.5,62.46277,73611.42,73860.95,4841.531,4850.675,POLYGON ((-120.92849978202176 38.810349506723114, -120.92595271069702 38.81138963406514, -120.91914616328584 38.80096738871939, -120.92171595697363 38.79996261829607, -120.92849978202176 38.810349506723114))
5,2012-04-22T14:50:25Z,3.515625,3,62.46277,73860.95,74110.48,4859.0283,4868.1724,POLYGON ((-120.92595271069702 38.81138963406514, -120.92340556578303 38.81242970619299, -120.91657629788685 38.80197210293492, -120.91914616328584 38.80096738871939, -120.92595271069702 38.81138963406514))
5,2012-04-22T14:50:25Z,3.515625,6,62.46277,74110.48,74360.01,4876.533,4885.677,POLYGON ((-120.92340556578303 38.81242970619299, -120.92085834728053 38.81346972310471, -120.9140063607775 38.802976760940766, -120.91657629788685 38.80197210293492, -120.92340556578303 38.81242970619299))
5,2012-04-22T14:50:25Z,3.515625,8.5,62.46277,74360.01,74609.54,4894.045,4903.189,POLYGON ((-120.92085834728053 38.81346972310471, -120.91831105519029 38.814509684798196, -120.91143635195894 38.8039813627348, -120.9140063607775 38.802976760940766, -120.92085834728053 38.81346972310471))
5,2012-04-22T14:50:25Z,3.515625,4.5,62.46277,74609.54,74859.07,4911.5645,4920.7085,POLYGON ((-120.91831105519029 38.814509684798196, -120.91576368951299 38.8155495912715, -120.90886627143206 38.80498590831503, -120.91143635195894 38.8039813627348, -120.91831105519029 38.814509684798196))
5,2012-04-22T14:50:25Z,3.515625,6,62.46277,74859.07,75108.6,4929.0913,4938.235,POLYGON ((-120.91576368951299 38.8155495912715, -120.91321625024928 38.81658944252251, -120.90629611919793 38.80599039767941, -120.90886627143206 38.80498590831503, -120.91576368951299 38.8155495912715))
5,2012-04-22T14:50:25Z,3.515625,-0.5,62.46277,75108.6,75358.13,4946.625,4955.769,POLYGON ((-120.91321625024928 38.81658944252251, -120.91066873739996 38.817629238549294, -120.90372589525755 38.806994830825936, -120.90629611919793 38.80599039767941, -120.91321625024928 38.81658944252251))
5,2012-04-22T14:50:25Z,3.515625,6,62.46277,75358.13,75607.664,4964.1665,4973.3105,POLYGON ((-120.91066873739996 38.817629238549294, -120.9081211509657 38.81866897934976, -120.90115559961188 38.80799920775263, -120.90372589525755 38.806994830825936, -120.91066873739996 38.817629238549294))
5,2012-04-22T14:50:25Z,3.515625,-6,63.484497,72114.234,72363.766,4736.7007,4745.8447,POLYGON ((-120.93713321310686 38.79393281550696, -120.93456384970789 38.7949379231342, -120.92805726978602 38.7845244630197, -120.93064878673181 38.78355540522082, -120.93713321310686 38.79393281550696))
5,2012-04-22T14:50:25Z,3.515625,0,63.484497,72363.766,72613.3,4754.154,4763.298,POLYGON ((-120.93456384970789 38.7949379231342, -120.93199441459164 38.79594297456587, -120.92546568310934 38.78549346364604, -120.92805726978602 38.7845244630197, -120.93456384970789 38.7949379231342))
