sweep,sweepTime,elevAngle,value,radialAng,surfaceRan,heightRel,heightASL,latitude,longitude
0,2003-03-27T05:47:11Z,0.48339844,-20.410368,89.208984,41873.383,467.0014,669.0838,41.6085,-87.5823
0,2003-03-27T05:47:11Z,0.48339844,-2.9157667,89.208984,42123.375,470.47247,672.5549,41.6086,-87.5793
0,2003-03-27T05:47:11Z,0.48339844,13.606912,89.208984,42373.363,473.95166,676.03406,41.6086,-87.5763
0,2003-03-27T05:47:11Z,0.48339844,-2.9157667,89.208984,42623.355,477.43893,679.52136,41.6086,-87.5734
0,2003-03-27T05:47:11Z,0.48339844,0.9719223,89.208984,42873.348,480.93433,683.0167,41.6086,-87.5704
0,2003-03-27T05:47:11Z,0.48339844,26.241901,89.208984,43123.336,484.43784,686.5202,41.6086,-87.5674
0,2003-03-27T05:47:11Z,0.48339844,-1.9438446,89.208984,43373.33,487.94943,690.03186,41.6087,-87.5644
0,2003-03-27T05:47:11Z,0.48339844,27.213823,89.208984,43623.316,491.46915,693.5516,41.6087,-87.5614
0,2003-03-27T05:47:11Z,0.48339844,11.663067,89.208984,43873.31,494.99698,697.07935,41.6087,-87.5584
0,2003-03-27T05:47:11Z,0.48339844,33.045357,89.208984,44123.297,498.5329,700.6153,41.6087,-87.5554
0,2003-03-27T05:47:11Z,0.48339844,32.073433,89.208984,44373.29,502.07693,704.1593,41.6087,-87.5524
0,2003-03-27T05:47:11Z,0.48339844,800.0,89.208984,44623.277,505.62906,707.7115,41.6087,-87.5494
0,2003-03-27T05:47:11Z,0.48339844,800.0,89.208984,44873.27,509.18933,711.2717,41.6088,-87.5464
0,2003-03-27T05:47:11Z,0.48339844,-37.90497,90.08789,29123.877,300.72644,502.80884,41.6035,-87.7353
0,2003-03-27T05:47:11Z,0.48339844,-20.410368,90.08789,29373.867,303.78406,505.86646,41.6035,-87.7323
0,2003-03-27T05:47:11Z,0.48339844,27.213823,90.08789,29623.857,306.84976,508.9322,41.6035,-87.7293
0,2003-03-27T05:47:11Z,0.48339844,32.073433,90.08789,29873.848,309.9236,512.006,41.6035,-87.7263
